test_index,claim,evidence,true_label,predicted_label,error_category
899,"jogeshwari education societys college of commerce science and information technology jogeshwari e mumbai 400 060 is located in mumbai district, maharashtra.","college: jogeshwari education societys college of commerce science and information technology jogeshwari e mumbai 400 060 (affiliated college). university: university of mumbai (state public university ). location: mumbai, maharashtra (urban). address: caves road arvind gandbhir highschool campusopp jogeshwari stn.jogeshwari east, jogeshwari. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
909,"demow college p.o. demow- 785662 is located in sivasagar district, assam.","college: demow college p.o. demow- 785662 (affiliated college). university: dibrugarh university, dibrugarh (state public university ). location: sivasagar, assam (urban). address: demow, demow, sivasagar, assam, demow. management: state government. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
917,"mahila college pakur is located in pakur district, maharashtra.","college: mahila college pakur (constituent / university college). university: sido kanhu murmu university, dumka (state public university ). location: pakur, jharkhand (rural). address: baliyadanga, pakur, pakur. management: state government. specialization: arts & humanities.",REFUTES,SUPPORTS,contradictory evidence
922,"college of physiotherapy is located in chittoor district, andhra pradesh.","college: college of physiotherapy (constituent / university college). university: sri venkateswara institute of medical sciences, tirupathi (institute under state legislature act ). location: chittoor, andhra pradesh (urban). address: sri venkateswara institute of medical sciences, alipiri road, tirupati. management: state government. specialization: medical & health sciences.",SUPPORTS,REFUTES,semantic similarity problem
939,"shri dhaneshwari manav vikas mandal's is located in aurangabad district, maharashtra.","college: shri dhaneshwari manav vikas mandal's (affiliated college). university: smt. nathibai damodar thackersey women's univeristy, mumbai (state public university ). location: aurangabad, maharashtra (rural). address: gevrai tanda, paithan road, aurangabad. management: private un-aided. specialization: education.",SUPPORTS,REFUTES,semantic similarity problem
943,"karmaveer tatyasaheb hari raoji patil arts college kolgaon is located in jalgaon district, karnataka.","college: karmaveer tatyasaheb hari raoji patil arts college kolgaon (affiliated college). university: kavayitri bahinabai chaudhari north maharashtra university, jalgaon (state public university ). location: jalgaon, maharashtra (rural). address: at post kolgaon tal bhadgaon dist jalgaon, at post kolgaon tal bhadgaon dist jalgaon, bhadgaon. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
947,"govt. college, sailana is located in ratlam district, madhya pradesh.","college: govt. college, sailana (affiliated college). university: vikram university, ujjain (state public university ). location: ratlam, madhya pradesh (rural). address: govt. college sailana, opposite of court, near jail, sailana. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
979,"govt. college for women shahzadpur (ambala) is located in ambala district, haryana.","college: govt. college for women shahzadpur (ambala) (affiliated college). university: kurukshetra university, kurukshetra (state public university ). location: ambala, haryana (rural). address: govt. college for women, shahzadpur (ambala), , vpo - badagarh. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1002,"central provincial arts commerce and science mahila mahavidyalaya is located in nagpur district, maharashtra.","college: central provincial arts commerce and science mahila mahavidyalaya (affiliated college). university: rashtrasant tukadoji maharaj nagpur university, nagpur (state public university ). location: nagpur, maharashtra (rural). address: velahar outer ring road,, post basa, nagpur. management: local body. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1034,"samastipur college is located in samastipur district, bihar.","college: samastipur college (constituent / university college). university: lalit narayan mithila university, darbhanga (state public university ). location: samastipur, bihar (rural). address: jitwarpur, samastipur college samastipur, samastipur. management: university. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1039,"a. n. magadh medical college & hospital is located in gaya district, bihar.","college: a. n. magadh medical college & hospital (affiliated college). university: aryabhatta knoweledge university , patna (state public university ). location: gaya, bihar (urban). address: sherghati road, gaya. management: state government. specialization: medical & health sciences.",SUPPORTS,REFUTES,semantic similarity problem
1056,"ridhdhi bca college motipura is located in sabar kantha district, gujarat.","college: ridhdhi bca college motipura (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: sabar kantha, gujarat (urban). address: himmatnagar - vijapur bypass road, motipura, himmatnagar, himmatnagar. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1063,"purwanchal college,sariya-raigarh is located in raigarh district, gujarat.","college: purwanchal college,sariya-raigarh (affiliated college). university: shaheed nandkumar patel vishwavidyalaya (state public university ). location: raigarh, chhattisgarh (rural). address: main chowk, sariya, at/po-sariya,tah-baramkela, sariya. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1064,"ace college of engineering, thiruvallam is located in thiruvananthapuram district, kerala.","college: ace college of engineering, thiruvallam (affiliated college). university: a p j abdul kalam technological university (state public university ). location: thiruvananthapuram, kerala (urban). address: thiruvallam, trivandrum. management: private un-aided. specialization: engineering & technology.",SUPPORTS,REFUTES,semantic similarity problem
1078,"government nature cure and yoga college is located in mysuru district, karnataka.","college: government nature cure and yoga college (affiliated college). university: rajiv gandhi university of health sciences, bangalore (state public university ). location: mysuru, karnataka (urban). address: brindavan extension , k r s road mysore-570020, brindavan extension, k r s road mysore-570020, mysore. management: state government. specialization: education.",SUPPORTS,REFUTES,semantic similarity problem
1098,"abhay shikshan kendra rajarshri shahu college of arts commerce & science jogalekar wadi sion east mumbai 400 022 is located in mumbai district, maharashtra.","college: abhay shikshan kendra rajarshri shahu college of arts commerce & science jogalekar wadi sion east mumbai 400 022 (affiliated college). university: university of mumbai (state public university ). location: mumbai, maharashtra (urban). address: municipal school bldg joglekar wadi, sion, sion e. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
1134,"w.m.o imam gazzali arts & science college is located in wayanad district, kerala.","college: w.m.o imam gazzali arts & science college (affiliated college). university: kannur university, kannur (state public university ). location: wayanad, kerala (rural). address: koolivayal, cherukattoor(post), panamaram. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1135,"government college, bhattu kalan, fatehabad is located in fatehabad district, haryana.","college: government college, bhattu kalan, fatehabad (affiliated college). university: ch. devi lal university, sirsa (state public university ). location: fatehabad, haryana (rural). address: adampur road bhattu kalan, near railway line, bhattu kalan. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1149,"dvp college - devka is located in kheri district, gujarat.","college: dvp college - devka (affiliated college). university: saurashtra university, rajkot (state public university ). location: amreli, gujarat (rural). address: at : devka, ta: rajula, dist : amreli, rajula. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1160,"b251 cmm college of education, mudubi basavakalyan is located in bidar district, karnataka.","college: b251 cmm college of education, mudubi basavakalyan (affiliated college). university: gulbarga university, gulbarga (state public university ). location: bidar, karnataka (urban). address: cmm college of education basavakalyan, cmm b.ed college mudbi basavakalyan, basavakalyan. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
1163,"experimental college of education is located in sabar kantha district, gujarat.","college: experimental college of education (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: sabar kantha, gujarat (urban). address: station road prantij, prantij, prantij. management: private un-aided. specialization: education.",SUPPORTS,REFUTES,semantic similarity problem
1217,"east west school of business management is located in bengaluru urban district, karnataka.","college: east west school of business management (affiliated college). university: bengaluru central university (state public university ). location: bengaluru urban, karnataka (nan). address: bengaluru urban, karnataka. management: government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1218,"bbmp first grade college for women cleveland town frazer town bangalore is located in umaria district, karnataka.","college: bbmp first grade college for women cleveland town frazer town bangalore (affiliated college). university: bengaluru north university (state public university ). location: bengaluru urban, karnataka (urban). address: cleveland town (frazer town), robertson road, bangalore urban. management: local body. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1223,"ssvp homoeopathic medical college and hospital is located in rajnandgaon district, maharashtra.","college: ssvp homoeopathic medical college and hospital (affiliated college). university: maharashtra university of health sciences, nashik (state public university ). location: hingoli, maharashtra (nan). address: hingoli, maharashtra. management: government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1229,"dr. zakir hussain institute of non formal & continuing education bhagalpur is located in bhagalpur district, karnataka.","college: dr. zakir hussain institute of non formal & continuing education bhagalpur (recognized center). university: makhanlal chaturvedi national university of journalism and communication, bhopal (state public university ). location: bhagalpur, bihar (nan). address: bhagalpur, bihar. management: government. specialization: general education.",REFUTES,SUPPORTS,negation problem
1235,"ilm college of arts & science, methala, keezhillam, perumbavoor is located in ernakulam district, chhattisgarh.","college: ilm college of arts & science, methala, keezhillam, perumbavoor (affiliated college). university: mahatma gandhi university, kottayam (state public university ). location: ernakulam, kerala (rural). address: methala, keezhillam p o, perumbavoor. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1251,"al-ameen arts, science & commerece college, hosur road, bangalore-27 is located in bengaluru urban district, karnataka.","college: al-ameen arts, science & commerece college, hosur road, bangalore-27 (affiliated college). university: bengaluru central university (state public university ). location: bengaluru urban, karnataka (urban). address: hosur road, near lalbagh main gate, bangalore. management: private aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
1262,"chitrini college of social work sndt is located in sabar kantha district, gujarat.","college: chitrini college of social work sndt (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: sabar kantha, gujarat (rural). address: at po junabakarpur, ta prantij, prantij. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1289,"sai sree pg college, dhone is located in kurnool district, andhra pradesh.","college: sai sree pg college, dhone (affiliated college). university: rayalaseema, university kurnool (state public university ). location: kurnool, andhra pradesh (rural). address: 7/7/13/2&2a, near venkateswaraswamy temple,nehru nagar, dhone. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
1292,"bharat mahavidyalaya jeur- .413202 tal,karmala dist, solapur. is located in solapur district, maharashtra.","college: bharat mahavidyalaya jeur- .413202 tal,karmala dist, solapur. (affiliated college). university: punyashlok ahilyadevi holkar solapur university, solapur (state public university ). location: solapur, maharashtra (rural). address: near bharat high school, jeur-lavhe road, jeur. management: private aided. specialization: arts & humanities.",SUPPORTS,REFUTES,numerical mismatch
1299,"narasaraopeta engineering college, kotappa konda road, yellamanda post, narasaraopet, pin-522601(cc-47) is located in guntur district, andhra pradesh.","college: narasaraopeta engineering college, kotappa konda road, yellamanda post, narasaraopet, pin-522601(cc-47) (affiliated college). university: jawaharlal nehru technological university, kakinada (state public university ). location: guntur, andhra pradesh (rural). address: kotappakonda road, yellamanda post, narasaraopet. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
1316,"govt first grade college, athani is located in belagavi district, bihar.","college: govt first grade college, athani (affiliated college). university: rani channamma university, belagavi (state public university ). location: belagavi, karnataka (rural). address: anantpur road, near taluka stadium, athani. management: state government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
1339,"anantha college of law, kesavayanagunta, tirupati is located in chittoor district, andhra pradesh.","college: anantha college of law, kesavayanagunta, tirupati (affiliated college). university: sri venkateswara university, tirupathy (state public university ). location: chittoor, andhra pradesh (urban). address: 19-12-1/12, near s.g.s arts college, kesavayanagunta, tirupati. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1349,"shri. sant gadagebaba mahavidyalaya, kapashi is located in kolhapur district, maharashtra.","college: shri. sant gadagebaba mahavidyalaya, kapashi (affiliated college). university: shivaji university, kolhapur (state public university ). location: kolhapur, maharashtra (rural). address: at post kapashi tal.shahuwadi, dist.kolhapur, kapashi. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1360,"sri. gurubasappa revansidappa goled arts & commerce college for women, shahabad is located in kalaburagi district, karnataka.","college: sri. gurubasappa revansidappa goled arts & commerce college for women, shahabad (affiliated college). university: karnataka state women university, bijapur (state public university ). location: kalaburagi, karnataka (urban). address: sb temple kb road shahabad, shahabad, shahabad. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1391,"doranda college is located in ranchi district, jharkhand.","college: doranda college (constituent / university college). university: ranchi university, ranchi (state public university ). location: ranchi, jharkhand (urban). address: near a.g. more, opp. of sri krishna park,, doranda, ranchi. management: university. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1425,"anjuman arts, science & commerce college, bhatkal. is located in uttar kannad district, karnataka.","college: anjuman arts, science & commerce college, bhatkal. (affiliated college). university: karnataka university, dharwad (state public university ). location: uttar kannad, karnataka (urban). address: post box no.2, anjumanabad, bhatkal. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1446,"jame-ul-uloom college of information science, shikshanagar, 26th mile, mysore road, near wonderla, bidadi hobli-562 109, ramanagar dist. is located in washim district, karnataka.","college: jame-ul-uloom college of information science, shikshanagar, 26th mile, mysore road, near wonderla, bidadi hobli-562 109, ramanagar dist. (affiliated college). university: bangalore university, bangalore (state public university ). location: ramanagara, karnataka (rural). address: campus: shiksha nagar 26th mile mysore road near wonderla amusement park bidadi hobli-562109, admin office: no. 1, jamia complex, n.r.road, bangalore - 560 002., ramanagara. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,numerical mismatch
1453,"guru kripa college, bareli, raisen is located in raisen district, madhya pradesh.","college: guru kripa college, bareli, raisen (affiliated college). university: barkatullah university, bhopal (state public university ). location: raisen, madhya pradesh (rural). address: ward no 7, nahar colony, bareli. management: local body. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1464,"university institute of technology vallakkadavu is located in thiruvananthapuram district, kerala.","college: university institute of technology vallakkadavu (affiliated college). university: university of kerala, thiruvananthapuram (state public university ). location: thiruvananthapuram, kerala (nan). address: thiruvananthapuram, kerala. management: government. specialization: general education.",SUPPORTS,REFUTES,negation problem
1473,"maharshi academy of vedic science is located in ahmadabad district, gujarat.","college: maharshi academy of vedic science (recognized center). university: gujarat university, ahmedabad (state public university ). location: ahmadabad, gujarat (urban). address: 3/b, highland park, behind polytechnic, ahmedabad - 380015. management: local body. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
1490,"government science college, fort-songadh is located in tapi district, gujarat.","college: government science college, fort-songadh (affiliated college). university: veer narmad south gujarat university, surat (state public university ). location: tapi, gujarat (rural). address: near dashera colony, otta road, fort-songadh, songadh. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
